date,dustin_deck_or_brew,opponent_archetype,result,note
2026-09-15,Deck 02 — Arceus / Crobat,Mega Charizard Y ex / Entei ex,L,
2026-09-15,Deck 02 — Arceus / Crobat,Mega Manectric ex / Heliolisk,L,
2026-09-15,Deck 02 — Arceus / Crobat,igglybuff/darkrai/milotic,W,
2026-09-15,Deck 02 — Arceus / Crobat,rotom ex,L,
2026-09-15,Brew 01 — Arceus / Crobat / Xatu,Vespiquen ex / Shuckle ex,L,"shuckle got 3 heads and knocked out Natu. Never drew crobat, or xatu... Probably need more draw cards or copycat"
2026-09-15,Brew 01 — Arceus / Crobat / Xatu,"team rocket: magmar, weezing ex,",W,Arceus versus deck that damages from effects = wins
2026-09-15,Brew 01 — Arceus / Crobat / Xatu,lucario ex and team rocket raticate ex,L,"Arceus ex takes 3 energy, raticate steals energy, lucario fighting kills arceus and crobat (weakness). Once again deck seems too difficult to draw cards you need"
2026-09-15,Brew 01 — Arceus / Crobat / Xatu,psychic oricorio/psychic chandelure,L,
2026-09-15,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),"weezing (gas leak not team rocket), nihilego, darkrai ex",L,"low hp pokemon, darkness weakness"
2026-09-15,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),eevee/froakie-greninja ex(shifting stream),W,"Good setup this time, meostic and hatterene evolved on turn two, comfey protects against team rockets master plan confusing your own pokemon so bonus. Opponent quit before finishing game"
2026-09-15,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),mega rayquaza ex/spritomb/pichu/dratini,W,"comfey the only basic to start off, not ideal. maybe one meowstic with the other confusion support would be enough? Then trade it for indeedee ex or something that heals? If I win this game it will be because the other deck is bad... 2 cards left to draw and I don't have the second meowstic or hatterene..."
2026-09-15,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),magikarp/carvanha,W,"evolved to hatterene turn 2, meowstic drawn on turn 3, confused and retreated using peculiar plaza, ko'ed carvanha, opponent surrendered"
2026-09-15,Brew 05c — Meowstic / Hatterene / Comfey (Cape variant),Whimsicott ex / Ariados,L,"Lost, maybe shouldn't have, stupidly didn't use my peculiar plaza first turn because I was afraid they were going to get rid of it with field blower or something and that would have been the difference in my first meowstic dying or not, this deck not having cyrus also not ideal"
2026-09-15,Brew 05c — Meowstic / Hatterene / Comfey (Cape variant),puppy pile...,W,
2026-09-15,Brew 05c — Meowstic / Hatterene / Comfey (Cape variant),"garchomp (mach-stealth ability), chingling",L,"chingling kept me from using rare candy, garchomp kills meowstic x2 in one hit and prevents damage the next turn, cynthia supporter gives +50 damage and kills hatterene in one shot"
2026-09-15,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),Mega Lucario ex hitmontop,L,"No way to change cards hitmontop can hit me while mega lucario sets up, rocky helmet on lucario hit 150 down to 130 no way to remove helmet or heal, dead"
2026-09-15,Brew 05 — Meowstic / Hatterene / Comfey (2026-09-15 list),Darkrai espeon sleep,L,"Comfey first, died and couldnt protect the rest of the pokemon from sleep. Flipped tails on the deciding coin flip"
2026-09-15,Brew 03a — Arceus / Nihilego / Toxapex,Vespiquen ex / Shuckle ex,L,Teal mask ogerpon prevented poison
2026-09-15,Brew 03a — Arceus / Nihilego / Toxapex,Suicune ex / Baxcalibur,L,
2026-09-15,Brew 03a — Arceus / Nihilego / Toxapex,Dustox team rocket magmar,W,Added a second poison tool instead of cape
2026-09-15,Brew 03a — Arceus / Nihilego / Toxapex,Silcoon/cascoon,L,
2026-09-15,Brew 04 — Xatu / Team Rocket’s Slowking ex,Mega Sharpedo ex / Gyarados,W,"Switched Cape for elegant, x speed for peculiar plaza"
2026-09-15,Deck 07 — Skarmory stall,Hydreigon / Mega Absol ex hoopa ex,W,
2026-09-15,Deck 07 — Skarmory stall,Mega Altaria ex / Espeon,W,
2026-09-15,Deck 07 — Skarmory stall,Mega sableye ex / hydreigon,W,
2026-09-15,Deck 07 — Skarmory stall,Mega Lucario ex / Lucario,L,
2026-09-16,Skarmory ex / Chandelure,Hydreigon / bombirdier,W,
2026-09-24,Brew 06b — Pyukumuku / Silvally / Team Rocket’s Scyther (Grass),Charizard ex / entei ex,L,
2026-09-24,Brew 06 — Pyukumuku / Silvally / Team Rocket’s Mewtwo (Payback),Mega Lucario ex / Dugtrio,L,"Opened with only TR Mewtwo. Dugtrio KO'd Mewtwo and Pyukumuku (the 50 went into Dugtrio); Silvally finished Dugtrio, then Mega Lucario evolved and one-shot Silvally for their 3rd point. Never drew Rocky Helmet. — no shot of winning (Dustin, Sept 24)"
2026-09-24,Brew 06 — Pyukumuku / Silvally / Team Rocket’s Mewtwo (Payback),Mega Lucario ex / Hitmonchan ex / Great Tusk,L,Went first. Hitmonchan ex and Great Tusk took both Pyukumukus for 2 points before Silvally had 3 energy. KO'd the 2-energy Riolu to stop the Mega; they Cyrus'd the 10-HP Helmet Silvally for the 3rd. Final 2–3. — no shot of winning
2026-09-24,Brew 06 — Pyukumuku / Silvally / Team Rocket’s Mewtwo (Payback),Mega Kangaskhan ex,L,no shot of winning — deck judged bad after 3 games
2026-09-24,Brew 06b — Pyukumuku / Silvally / Team Rocket’s Scyther (Grass),Mega Blaziken ex / castform sunny form,L,
2026-09-24,Brew 06b — Pyukumuku / Silvally / Team Rocket’s Scyther (Grass),Mega Blaziken ex,L,
